hi,lo
7.4,4
11.6,2.5
10.9,7.1
11.9,5.8
8.8,1.9
5.7,-1.4
5.5,1.1
4.8,1.6
6.8,4.5
10.4,6.1
7.4,5.4
7.6,2.9
6.6,3.8
6.6,4.1
10.6,4.6
7.1,2.8
7.2,2.1
10.9,2.7
7.1,-0.1
4.2,1.3
8.9,-0.4
9.9,4.3
12.7,6.8
13.4,5.7
10.1,3.5
6.5,-0.1
10.4,0.9
13.8,8.6
12.8,2.5
9,-1.4
9.6,2.2
7.6,1.6
7.1,2.4
6,2.3
5.9,1.4
4.6,0.4
4.9,-1.2
5.9,-3.2
7.9,-4.8
5.6,0.3
9.1,-2.3
10.1,0.7
8.5,-0.9
6.1,0.4
6.8,3.1
11.3,3.3
10.6,-0.3
10.9,-0.9
12.1,-0.9
10.2,5.5
8.7,3.2
6.7,-0.5
5.9,-0.1
4.3,-1.6
5.9,-2.1
4.3,-1
1.8,-2.8
2,-5.5
-0.1,-5.9
0,-4.2
0.4,-1.6
4.5,0.4
9.1,1.4
9.9,3.4
11,1.6
11.5,1.8
9.9,1.9
9.9,-0.4
13.8,5.8
9,5.6
10.6,5.6
12.4,4.4
12.6,3
11.1,6.2
15.6,5.8
5.7,-1.6
1.2,-0.9
4.3,-0.5
10,-0.1
12.1,-1.8
13.6,5.4
15.1,5.8
9.2,6.1
12.8,5
13.6,2.4
14,4.8
8.6,3.3
11.2,0.2
8.4,2.4
8,4.1
8.3,3.7
12.4,4.1
16.1,7.8
14.6,6.3
13.9,3.8
16.6,3.4
19.4,6.4
13.3,8.9
9.9,7.5
14.3,7.3
11,7.4
10,6.9
12,6.5
18.6,8.8
17,8
16.9,7.1
21.5,7.8
24.4,7.9
27.9,7.6
26.9,9.8
21.9,8.3
25.7,10.6
17.3,8
18.4,11
17.5,8
16.8,6.4
11.4,6.2
10.3,7.1
8,6.2
7.9,4.7
16.9,3.1
14.6,6.3
18.6,1.9
21.3,8.9
21.8,5.3
24.3,6.4
27.5,7.7
28.3,7.6
24.9,10.5
16,9
17,5
15,9
19.3,9.1
19.6,8.3
24,8.6
15.3,7.8
19.1,5
