Temp,Pressure,Enthalpy liquid,enthalpy vapour,Entropy liquid,Entropy Vapour,liq.density,vaporsp.vol
-77,6.42,-140.392,1342.47,-0.4575,7.1023,732.21,14856.938
-76,6.94,-136.183,1344.355,-0.4361,7.0736,731.16,13797.202
-75,7.51,-131.969,1346.235,-0.4148,7.0452,730.1,12824.122
-74,8.11,-127.749,1348.11,-0.3936,7.0172,729.03,11929.795
-73,8.75,-123.523,1349.979,-0.3724,6.9896,727.96,11107.107
-72,9.43,-119.292,1351.843,-0.3513,6.9623,726.88,10349.649
-71,10.16,-115.055,1353.702,-0.3303,6.9354,725.8,9651.641
-70,10.94,-110.812,1355.554,-0.3094,6.9088,724.72,9007.864
-69,11.77,-106.563,1357.401,-0.2885,6.8825,723.63,8413.603
-68,12.65,-102.309,1359.242,-0.2677,6.8566,722.53,7864.593
-67,13.58,-98.048,1361.076,-0.247,6.8309,721.43,7356.972
-66,14.57,-93.782,1362.905,-0.2264,6.8056,720.33,6887.24
-65,15.62,-89.51,1364.726,-0.2058,6.7807,719.22,6452.225
-64,16.74,-85.232,1366.542,-0.1853,6.756,718.11,6049.044
-63,17.92,-80.948,1368.35,-0.1649,6.7316,716.99,5675.08
-62,19.17,-76.659,1370.152,-0.1446,6.7075,715.87,5327.952
-61,20.49,-72.363,1371.947,-0.1243,6.6837,714.75,5005.493
-60,21.89,-68.062,1373.734,-0.104,6.6602,713.62,4705.729
-59,23.37,-63.754,1375.515,-0.0839,6.6369,712.48,4426.859
-58,24.93,-59.441,1377.288,-0.0638,6.614,711.35,4167.243
-57,26.58,-55.122,1379.053,-0.0438,6.5913,710.2,3925.38
-56,28.32,-50.797,1380.811,-0.0238,6.5689,709.06,3699.9
-55,30.14,-46.467,1382.56,-0.004,6.5467,707.9,3489.548
-54,32.07,-42.13,1384.302,0.0159,6.5248,706.75,3293.178
-53,34.1,-37.788,1386.036,0.0356,6.5031,705.59,3109.737
-52,36.24,-33.44,1387.761,0.0553,6.4817,704.43,2938.263
-51,38.48,-29.087,1389.478,0.0749,6.4606,703.26,2777.871
-50,40.84,-24.727,1391.186,0.0945,6.4396,702.09,2627.75
-49,43.31,-20.363,1392.886,0.114,6.4189,700.91,2487.152
-48,45.91,-15.992,1394.577,0.1334,6.3985,699.73,2355.393
-47,48.64,-11.616,1396.258,0.1528,6.3782,698.55,2231.842
-46,51.49,-7.234,1397.93,0.1721,6.3582,697.36,2115.918
-45,54.49,-2.847,1399.594,0.1914,6.3384,696.17,2007.084
-44,57.63,1.545,1401.247,0.2106,6.3188,694.97,1904.849
