Temp,enthalpy,entropy,Sp.vol,pressure
-50,1391.186,6.4396,2627.7756,40.84
-45,1402.027,6.4877,2690.8291,40.84
-40,1412.785,6.5343,2753.4876,40.84
-35,1423.476,6.5797,2815.8111,40.84
-30,1434.116,6.6239,2877.849,40.84
-25,1444.717,6.6671,2939.6421,40.84
-20,1455.289,6.7092,3001.2246,40.84
-15,1465.841,6.7505,3062.6249,40.84
-10,1476.38,6.7909,3123.8671,40.84
-5,1486.913,6.8306,3184.9713,40.84
0,1497.446,6.8695,3245.9546,40.84
5,1507.984,6.9077,3306.8316,40.84
-45,1399.594,6.3384,2007.1027,54.49
-40,1410.584,6.386,2054.8351,54.49
-35,1421.477,6.4323,2102.2216,54.49
-30,1432.293,6.4772,2149.3139,54.49
-25,1443.047,6.521,2196.1549,54.49
-20,1453.754,6.5637,2242.7801,54.49
-15,1464.426,6.6055,2289.2191,54.49
-10,1475.071,6.6463,2335.4967,54.49
-5,1485.699,6.6863,2381.6337,54.49
0,1496.316,6.7255,2427.6479,54.49
5,1506.929,6.7641,2473.5542,54.49
10,1517.544,6.8019,2519.3653,54.49
-40,1407.763,6.2425,1553.3015,71.69
-35,1418.919,6.2899,1589.9925,71.69
-30,1429.964,6.3358,1626.3779,71.69
-25,1440.918,6.3804,1662.5033,71.69
-20,1451.8,6.4238,1698.406,71.69
-15,1462.626,6.4661,1734.1172,71.69
-10,1473.408,6.5075,1769.6628,71.69
-5,1484.157,6.548,1805.0646,71.69
0,1494.882,6.5876,1840.3408,71.69
5,1505.592,6.6264,1875.5071,71.69
10,1516.294,6.6646,1910.5765,71.69
15,1526.994,6.702,1945.5604,71.69
-35,1415.675,6.1516,1216.7791,93.1
-30,1427.016,6.1987,1245.3904,93.1
-25,1438.228,6.2443,1273.7301,93.1
-20,1449.336,6.2887,1301.8381,93.1
-15,1460.359,6.3318,1329.7477,93.1
-10,1471.316,6.3738,1357.4862,93.1
-5,1482.22,6.4149,1385.0766,93.1
0,1493.083,6.455,1412.538,93.1
5,1503.916,6.4943,1439.8868,93.1
10,1514.728,6.5328,1467.1366,93.1
15,1525.527,6.5706,1494.2991,93.1
20,1536.319,6.6078,1521.3844,93.1
-30,1423.311,6.0651,963.9667,119.43
-25,1434.856,6.1121,986.5824,119.43
-20,1446.253,6.1576,1008.9544,119.43
-15,1457.529,6.2017,1031.1188,119.43
-10,1468.708,6.2446,1053.105,119.43
-5,1479.808,6.2863,1074.9375,119.43
0,1490.845,6.3271,1096.6368,119.43
5,1501.834,6.367,1118.2199,119.43
10,1512.785,6.406,1139.7013,119.43
15,1523.708,6.4443,1161.0933,119.43
20,1534.613,6.4818,1182.4062,119.43
25,1545.506,6.5186,1203.6491,119.43
-25,1430.652,5.9827,771.6731,151.47
-20,1442.42,6.0297,789.7789,151.47
-15,1454.019,6.0751,807.6648,151.47
-10,1465.481,6.119,825.3633,151.47
-5,1476.829,6.1617,842.9009,151.47
0,1488.086,6.2033,860.2996,151.47
5,1499.27,6.2439,877.5778,151.47
10,1510.395,6.2836,894.7508,151.47
15,1521.474,6.3223,911.8316,151.47
20,1532.519,6.3603,928.8312,151.47
25,1543.538,6.3976,945.7589,151.47
30,1554.541,6.4342,962.6227,151.47
-20,1437.677,5.9041,623.7291,190.08
-15,1449.69,5.9511,638.4,190.08
-10,1461.51,5.9965,652.8712,190.08
-5,1473.173,6.0404,667.1721,190.08
0,1484.707,6.083,681.3269,190.08
5,1496.135,6.1244,695.3555,190.08
10,1507.477,6.1649,709.2745,190.08
15,1518.75,6.2043,723.0977,190.08
20,1529.969,6.2429,736.837,190.08
25,1541.145,6.2807,750.5021,190.08
30,1552.289,6.3178,764.1016,190.08
35,1563.41,6.3542,777.6427,190.08
-15,1444.368,5.8289,508.6798,236.17
-10,1456.647,5.876,520.7037,236.17
-5,1468.708,5.9214,532.5449,236.17
0,1480.59,5.9653,544.2305,236.17
5,1492.324,6.0079,555.7827,236.17
10,1503.937,6.0493,567.2196,236.17
15,1515.452,6.0896,578.5563,236.17
20,1526.885,6.1289,589.8055,236.17
25,1538.255,6.1674,600.9777,236.17
30,1549.573,6.2051,612.0821,236.17
35,1560.851,6.242,623.1262,236.17
40,1572.099,6.2782,634.1167,236.17
-10,1450.705,5.7569,418.3027,290.71
-5,1463.273,5.8042,428.2639,290.71
0,1475.595,5.8497,438.057,290.71
5,1487.714,5.8937,447.7072,290.71
10,1499.665,5.9363,457.2347,290.71
15,1511.478,5.9776,466.6564,290.71
20,1523.178,6.0179,475.9861,290.71
25,1534.785,6.0571,485.2353,290.71
30,1546.317,6.0955,494.4138,290.71
35,1557.788,6.133,503.5299,290.71
40,1569.21,6.1698,512.5904,290.71
45,1580.596,6.2059,521.6016,290.71
-5,1456.668,5.6877,346.6356,354.76
0,1469.55,5.7353,354.9727,354.76
5,1482.154,5.781,363.1542,354.76
10,1494.528,5.8251,371.2036,354.76
15,1506.714,5.8677,379.1398,354.76
20,1518.743,5.9091,386.9783,354.76
25,1530.642,5.9494,394.7319,354.76
30,1542.435,5.9886,402.4112,354.76
35,1554.141,6.0269,410.0251,354.76
40,1565.776,6.0644,417.5814,354.76
45,1577.353,6.101,425.0864,354.76
50,1588.886,6.137,432.5456,354.76
0,1462.24,5.6211,289.3115,429.39
5,1475.461,5.669,296.3574,429.39
10,1488.368,5.715,303.2586,429.39
15,1501.018,5.7593,310.037,429.39
20,1513.455,5.8021,316.7103,429.39
25,1525.715,5.8436,323.293,429.39
30,1537.829,5.8839,329.7969,429.39
35,1549.822,5.9231,336.232,429.39
40,1561.714,5.9614,342.6065,429.39
45,1573.524,5.9988,348.9275,429.39
50,1585.267,6.0354,355.2008,429.39
55,1596.957,6.0713,361.4317,429.39
5,1467.393,5.5568,243.0391,515.75
10,1480.98,5.6052,249.0486,515.75
15,1494.216,5.6515,254.9226,515.75
20,1507.162,5.6961,260.6818,515.75
25,1519.869,5.7391,266.343,515.75
30,1532.378,5.7807,271.9198,515.75
35,1544.721,5.821,277.4232,515.75
40,1556.927,5.8603,282.8625,515.75
45,1569.019,5.8986,288.2453,515.75
50,1581.016,5.9361,293.5783,515.75
55,1592.936,5.9727,298.8669,515.75
60,1604.793,6.0085,304.116,515.75
10,1472.114,5.4946,205.4257,615.05
