hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,Q_heat_demand_W
0,0.0,4.497918471982869,6.1875,8.5699183393912,0.0,-129619.98266896445,-5355.0,0.0,-134974.98266896445,134974.98266896445
1,0.041666666666666664,4.2277568135664545,6.1875,8.5699183393912,0.0,-132213.53458976204,-5355.0,0.0,-137568.53458976204,137568.53458976204
2,0.08333333333333333,4.057926095308584,6.1875,8.5699183393912,0.0,-133843.90948503758,-5355.0,0.0,-139198.90948503758,139198.90948503758
3,0.125,4.0,6.1875,8.5699183393912,0.0,-134400.0,-5355.0,0.0,-139755.0,139755.0
4,0.16666666666666666,4.057926095308584,6.1875,8.5699183393912,0.0,-133843.90948503758,-5355.0,0.0,-139198.90948503758,139198.90948503758
5,0.20833333333333334,4.2277568135664545,6.1875,8.5699183393912,0.0,-132213.53458976204,-5355.0,0.0,-137568.53458976204,137568.53458976204
6,0.25,4.497918471982869,6.1875,8.5699183393912,0.0,-129619.98266896445,-5355.0,0.0,-134974.98266896445,134974.98266896445
7,0.2916666666666667,4.8500000000000005,6.1875,8.5699183393912,0.0,-126239.99999999999,-5355.0,0.0,-131595.0,131595.0
8,0.3333333333333333,5.260007623325715,6.1875,8.5699183393912,0.0,-122303.92681607313,-5355.0,0.0,-127658.92681607313,127658.92681607313
9,0.375,5.7,6.1875,8.5699183393912,0.0,-118080.0,-5355.0,0.0,-123435.0,123435.0
10,0.4166666666666667,6.139992376674286,6.1875,8.5699183393912,0.0,-113856.07318392686,-5355.0,0.0,-119211.07318392686,119211.07318392686
11,0.4583333333333333,6.550000000000001,6.1875,8.5699183393912,0.0,-109920.0,-5355.0,0.0,-115275.0,115275.0
12,0.5,6.902081528017131,6.1875,8.5699183393912,0.0,-106540.01733103555,-5355.0,0.0,-111895.01733103555,111895.01733103555
13,0.5416666666666666,7.172243186433546,6.1875,8.5699183393912,0.0,-103946.46541023796,-5355.0,0.0,-109301.46541023796,109301.46541023796
14,0.5833333333333334,7.342073904691416,6.1875,8.5699183393912,0.0,-102316.0905149624,-5355.0,0.0,-107671.0905149624,107671.0905149624
15,0.625,7.4,6.1875,8.5699183393912,0.0,-101760.0,-5355.0,0.0,-107115.0,107115.0
16,0.6666666666666666,7.342073904691416,6.1875,8.5699183393912,0.0,-102316.0905149624,-5355.0,0.0,-107671.0905149624,107671.0905149624
17,0.7083333333333334,7.172243186433546,6.1875,8.5699183393912,0.0,-103946.46541023796,-5355.0,0.0,-109301.46541023796,109301.46541023796
18,0.75,6.902081528017131,6.1875,8.5699183393912,0.0,-106540.01733103555,-5355.0,0.0,-111895.01733103555,111895.01733103555
19,0.7916666666666666,6.550000000000001,6.1875,8.5699183393912,0.0,-109920.0,-5355.0,0.0,-115275.0,115275.0
20,0.8333333333333334,6.139992376674286,6.1875,8.5699183393912,0.0,-113856.07318392686,-5355.0,0.0,-119211.07318392686,119211.07318392686
21,0.875,5.7,6.1875,8.5699183393912,0.0,-118080.0,-5355.0,0.0,-123435.0,123435.0
22,0.9166666666666666,5.260007623325715,6.1875,8.5699183393912,0.0,-122303.92681607313,-5355.0,0.0,-127658.92681607313,127658.92681607313
23,0.9583333333333334,4.8500000000000005,6.1875,8.5699183393912,0.0,-126239.99999999999,-5355.0,0.0,-131595.0,131595.0
24,1.0,3.832664145601207,6.0600000000000005,8.52441747069993,0.0,-136006.4242022284,-5412.8,0.0,-141419.2242022284,141419.2242022284
25,1.0416666666666667,3.109584412780803,6.0600000000000005,8.52441747069993,0.0,-142947.9896373043,-5412.8,0.0,-148360.7896373043,148360.7896373043
26,1.0833333333333333,2.655037490384739,6.0600000000000005,8.52441747069993,0.0,-147311.6400923065,-5412.8,0.0,-152724.4400923065,152724.4400923065
