hour,time_days,Q_c_W,Q_e_kW,W_c1_kW,W_c2_kW,W_total_kW,m_dot_1_kg_s,m_dot_2_kg_s,COP
0,0.0,134974.98266896445,101.50507360538978,13.810238479157963,19.659670584416713,33.469909063574676,0.09325203693562287,0.12971854001790123,4.03272630387448
1,0.041666666666666664,137568.53458976204,103.32390108252946,14.117499683045649,20.12713382418691,34.24463350723256,0.09487277638929022,0.13211881943318535,4.017228993287582
2,0.08333333333333333,139198.90948503758,104.46468753854317,14.311420406161961,20.422801540332443,34.7342219464944,0.09588840358809672,0.13362588642525317,4.007543617918478
3,0.125,139755.0,104.85333987497309,14.377696870530462,20.523963254496437,34.9016601250269,0.09623425334964576,0.13413960209438025,4.004250786333972
4,0.16666666666666666,139198.90948503758,104.46468753854317,14.311420406161961,20.422801540332443,34.7342219464944,0.09588840358809672,0.13362588642525317,4.007543617918478
5,0.20833333333333334,137568.53458976204,103.32390108252946,14.117499683045649,20.12713382418691,34.24463350723256,0.09487277638929022,0.13211881943318535,4.017228993287582
6,0.25,134974.98266896445,101.50507360538978,13.810238479157963,19.659670584416713,33.469909063574676,0.09325203693562287,0.12971854001790123,4.03272630387448
7,0.2916666666666667,131595.0,99.12716774285897,13.412071312035414,19.0557609451056,32.46783225714101,0.09113040512439581,0.1265851206017625,4.053088575725805
8,0.3333333333333333,127658.92681607313,96.34728500986218,12.951630182878118,18.360011623332838,31.311641806210957,0.08864623861705215,0.12292861934755359,4.077043535633152
9,0.375,123435.0,93.35124617127842,12.461405151917795,17.6223486768038,30.083753828721594,0.08596423643996547,0.11899567795000625,4.103045141998004
10,0.4166666666666667,119211.07318392686,90.3418980134879,11.975229731100733,16.893945439338214,28.869175170438947,0.08326545087618452,0.11505339350211387,4.129355012054343
11,0.4583333333333333,115275.0,87.52568296800764,11.5258444285344,16.223472603457964,27.749317031992362,0.08073545305097136,0.11137138110523909,4.154156293904413
12,0.5,111895.01733103555,85.09815725535006,11.14277666019853,15.654083415486973,26.7968600756855,0.0785512217240572,0.1082031178595267,4.1756764417546455
13,0.5416666666666666,109301.46541023796,83.22969110511664,10.850619601487091,15.221154703634216,26.07177430512131,0.07686786728500693,0.10576798460338976,4.192329380082419
14,0.5833333333333334,107671.0905149624,82.05257059477249,10.667754664443464,14.950765255746441,25.618519920189904,0.07580640494172139,0.10423540446662624,4.202861478742456
15,0.625,107115.0,81.6506309139571,10.605521725107446,14.858847360935428,25.464369086042872,0.07544378713383958,0.1037123562148095,4.206465891146315
16,0.6666666666666666,107671.0905149624,82.05257059477249,10.667754664443464,14.950765255746441,25.618519920189904,0.07580640494172139,0.10423540446662624,4.202861478742456
17,0.7083333333333334,109301.46541023796,83.22969110511664,10.850619601487091,15.221154703634216,26.07177430512131,0.07686786728500693,0.10576798460338976,4.192329380082419
18,0.75,111895.01733103555,85.09815725535006,11.14277666019853,15.654083415486973,26.7968600756855,0.0785512217240572,0.1082031178595267,4.1756764417546455
19,0.7916666666666666,115275.0,87.52568296800764,11.5258444285344,16.223472603457964,27.749317031992362,0.08073545305097136,0.11137138110523909,4.154156293904413
