hour,time_days,Q_c_W,Q_e_kW,W_c1_kW,W_c2_kW,W_total_kW,m_dot_1_kg_s,m_dot_2_kg_s,COP
0,0.0,134974.98266896445,103.4424397223657,13.181632326529481,18.35091062006928,31.53254294659876,0.09580350320261108,0.13107606870079946,4.280497862083257
1,0.041666666666666664,137568.53458976204,105.43009204821864,13.434918136712279,18.703524404831104,32.138442541543384,0.09764437293148269,0.13359470276933133,4.280497862083257
2,0.08333333333333333,139198.90948503758,106.67958253523004,13.594140253277647,18.925186696529885,32.519326949807535,0.0988015920206236,0.1351779823338512,4.280497862083256
3,0.125,139755.0,107.10576047159074,13.648447952108645,19.000791576300617,32.64923952840926,0.0991962979015038,0.13571800950853027,4.280497862083257
4,0.16666666666666666,139198.90948503758,106.67958253523004,13.594140253277647,18.925186696529885,32.519326949807535,0.0988015920206236,0.1351779823338512,4.280497862083256
5,0.20833333333333334,137568.53458976204,105.43009204821864,13.434918136712279,18.703524404831104,32.138442541543384,0.09764437293148269,0.13359470276933133,4.280497862083257
6,0.25,134974.98266896445,103.4424397223657,13.181632326529481,18.35091062006928,31.53254294659876,0.09580350320261108,0.13107606870079946,4.280497862083257
7,0.2916666666666667,131595.0,100.85208077892729,12.851543832118614,17.8913753889541,30.74291922107271,0.09340443506385025,0.12779372087778643,4.280497862083257
8,0.3333333333333333,127658.92681607313,97.8355438991282,12.467147638876753,17.356235278068187,29.82338291694494,0.09061066104420924,0.12397134588009434,4.280497862083257
9,0.375,123435.0,94.59840108626383,12.054639712128585,16.781959201607577,28.83659891373616,0.08761257222619671,0.11986943224704258,4.280497862083257
10,0.4166666666666667,119211.07318392686,91.36125827339949,11.642131785380418,16.207683125146964,27.849814910527382,0.08461448340818419,0.1157675186139908,4.280497862083257
11,0.4583333333333333,115275.0,88.3447213936004,11.257735592138557,15.672543014261057,26.930278606399614,0.08182070938854318,0.11194514361629873,4.280497862083257
12,0.5,111895.01733103555,85.75436245016198,10.92764709772769,15.213007783145876,26.140654880873566,0.07942164124978235,0.1086627957932857,4.280497862083257
13,0.5416666666666666,109301.46541023796,83.76671012430901,10.674361287544889,14.86039399838405,25.534755285928938,0.07758077152091071,0.1061441617247538,4.280497862083257
14,0.5833333333333334,107671.0905149624,82.51721963729763,10.515139170979522,14.638731706685263,25.153870877664787,0.07642355243176982,0.10456088216023392,4.280497862083256
15,0.625,107115.0,82.09104170093694,10.460831472148527,14.563126826914536,25.02395829906306,0.07602884655088962,0.10402085498555487,4.280497862083257
16,0.6666666666666666,107671.0905149624,82.51721963729763,10.515139170979522,14.638731706685263,25.153870877664787,0.07642355243176982,0.10456088216023392,4.280497862083256
17,0.7083333333333334,109301.46541023796,83.76671012430901,10.674361287544889,14.86039399838405,25.534755285928938,0.07758077152091071,0.1061441617247538,4.280497862083257
