hour,time_days,external_temp_C,ground_temp_C,water_temp_C,sunlight_W,Q_walls_W,Q_ground_W,Q_sun_W,Q_total_W,T_internal_C
0,0.0,4.0,5.4,9.367938060336611,0.0,-134400.0,-5712.0,0.0,-140112.0,18.0
1,0.041666666666666664,4.057926095308584,5.423851921597652,9.365315539948686,0.0,-133843.90948503758,-5701.187128875732,0.0,-139545.0966139133,18.0
2,0.08333333333333333,4.2277568135664545,5.493782217350892,9.362694812291085,0.0,-132213.53458976204,-5669.485394800929,0.0,-137883.01998456297,18.0
3,0.125,4.497918471982869,5.6050252531694165,9.360075878712065,0.0,-129619.98266896445,-5619.055218563199,0.0,-135239.03788752767,18.0
4,0.16666666666666666,4.85,5.75,9.357458740558965,0.0,-126240.0,-5553.333333333334,0.0,-131793.33333333334,18.0
5,0.20833333333333334,5.260007623325715,5.918826668428236,9.354843399178144,0.0,-122303.92681607313,-5476.7985769792,0.0,-127780.72539305233,18.0
6,0.25,5.7,6.1,9.352229855915192,0.0,-118080.0,-5394.666666666667,0.0,-123474.66666666667,18.0
7,0.2916666666666667,6.139992376674286,6.281173331571765,9.349618112114623,0.0,-113856.07318392686,-5312.534756354134,0.0,-119168.60794028098,18.0
8,0.3333333333333333,6.55,6.449999999999999,9.347008169120075,0.0,-109920.0,-5236.000000000001,0.0,-115156.0,18.0
9,0.375,6.902081528017131,6.594974746830583,9.344400028274258,0.0,-106540.01733103555,-5170.278114770136,0.0,-111710.29544580568,18.0
10,0.4166666666666667,7.172243186433546,6.706217782649107,9.341793690918953,0.0,-103946.46541023796,-5119.847938532405,0.0,-109066.31334877036,18.0
11,0.4583333333333333,7.342073904691416,6.776148078402347,9.33918915839502,0.0,-102316.09051496239,-5088.146204457603,0.0,-107404.23671941999,18.0
12,0.5,7.4,6.799999999999999,9.336586432042386,0.0,-101760.0,-5077.333333333334,0.0,-106837.33333333333,18.0
13,0.5416666666666666,7.342073904691417,6.776148078402347,9.333985513199995,0.0,-102316.09051496239,-5088.146204457603,0.0,-107404.23671941999,18.0
14,0.5833333333333334,7.172243186433546,6.706217782649106,9.331386403206022,0.0,-103946.46541023796,-5119.847938532406,0.0,-109066.31334877036,18.0
15,0.625,6.902081528017131,6.594974746830583,9.328789103397549,0.0,-106540.01733103555,-5170.278114770136,0.0,-111710.29544580568,18.0
16,0.6666666666666666,6.550000000000001,6.449999999999999,9.326193615110785,0.0,-109920.0,-5236.000000000001,0.0,-115156.0,18.0
17,0.7083333333333334,6.139992376674285,6.281173331571764,9.323599939681007,0.0,-113856.07318392686,-5312.534756354134,0.0,-119168.60794028098,18.0
18,0.75,5.7,6.1,9.321008078442553,0.0,-118080.0,-5394.666666666667,0.0,-123474.66666666667,18.0
19,0.7916666666666666,5.260007623325715,5.918826668428236,9.318418032728832,0.0,-122303.92681607313,-5476.7985769792,0.0,-127780.72539305233,18.0
20,0.8333333333333334,4.85,5.75,9.31582980387232,0.0,-126240.0,-5553.333333333334,0.0,-131793.33333333334,18.0
21,0.875,4.497918471982869,5.6050252531694165,9.313243393204557,0.0,-129619.98266896445,-5619.055218563199,0.0,-135239.03788752767,18.0
22,0.9166666666666666,4.2277568135664545,5.493782217350893,9.310658802056096,0.0,-132213.53458976204,-5669.485394800929,0.0,-137883.01998456297,18.0
23,0.9583333333333334,4.057926095308584,5.423851921597652,9.308076031756707,0.0,-133843.90948503758,-5701.187128875732,0.0,-139545.0966139133,18.0
24,1.0,2.5,4.4,9.305495083635073,0.0,-148800.0,-6165.333333333334,0.0,-154965.33333333334,18.0
25,1.0416666666666667,2.65503749038474,4.444296425824212,9.302915959018984,0.0,-147311.6400923065,-6145.2522869596905,0.0,-153456.8923792662,18.0
26,1.0833333333333333,3.1095844127808023,4.57416697508023,9.3003386592353,0.0,-142947.9896373043,-6086.377637963629,0.0,-149034.36727526793,18.0
27,1.125,3.832664145601208,4.780761184457488,9.297763185609934,0.0,-136006.42420222843,-5992.721596379271,0.0,-141999.1457986077,18.0
28,1.1666666666666667,4.775000000000001,5.050000000000001,9.29518953946787,0.0,-126959.99999999997,-5870.666666666666,0.0,-132830.66666666663,18.0
29,1.2083333333333333,5.872373344783527,5.363535241366722,9.29261772213314,0.0,-116425.21589007817,-5728.530690580419,0.0,-122153.74658065858,18.0
