hour,time_days,Q_c_W,Q_e_kW,W_c1_kW,W_c2_kW,W_total_kW,m_dot_1_kg_s,m_dot_2_kg_s,COP
0,0.0,140112.00000000285,103.40635352451497,16.726666080001152,19.978980395486744,36.705646475487896,0.11939942950960906,0.13517852456739135,3.817178375909274
1,0.041666666666666664,139545.09661390987,102.98796386512409,16.65898876728847,19.898143981497316,36.55713274878579,0.11891633069661256,0.13463158238325076,3.8171783759092746
2,0.08333333333333333,137883.0199845655,101.7613074508354,16.460568926172673,19.661143607557413,36.12171253373009,0.11749995664339107,0.13302802903683708,3.817178375909274
3,0.125,135239.0378875306,99.80997888912424,16.144928540919423,19.28413045748692,35.42905899840635,0.11524683090098797,0.1304771440386944,3.817178375909274
4,0.16666666666666666,131793.3333333315,95.63269537640821,17.407766571023362,18.75287138589992,36.16063795692328,0.11029650548400059,0.12715276598590974,3.644662837263314
5,0.20833333333333334,127780.72539304868,92.72104193300163,16.877765996648233,18.18191746339879,35.059683460047026,0.10693839455003411,0.12328144574899341,3.644662837263314
6,0.25,123474.66666666938,89.69772091508008,16.2077373185607,17.56920843302858,33.77694575158928,0.10333469762609869,0.11912700740443703,3.655590045789135
7,0.2916666666666667,119168.60794028085,86.56960027049278,15.642508267130989,16.95649940265706,32.59900766978805,0.09973100070215554,0.11497256905987176,3.6555900457891344
8,0.3333333333333333,115155.99999999804,84.90819978000454,13.894474101996199,16.35332611799728,30.24780021999348,0.09770872697479098,0.11110124882295545,3.807086768705948
9,0.375,111710.29544580815,82.36757166970173,13.478722836831357,15.864000939275053,29.34272377610641,0.0947850807425396,0.10777687077017967,3.807086768705948
10,0.4166666666666667,109066.31334877328,80.41807915424621,13.159705670783621,15.488528523743444,28.648234194527063,0.09254168808522763,0.10522598577203703,3.807086768705948
11,0.4583333333333333,107404.23671941964,79.19257692687779,12.959163096518385,15.25249669602346,28.211659792541845,0.09113143250506942,0.1036224324256144,3.8070867687059478
12,0.5,106837.33333333593,78.77458093916063,12.890761759060723,15.171990635114572,28.062752394175295,0.0906504205893035,0.10307549024148277,3.807086768705948
13,0.5416666666666666,107404.23671941964,79.19257692687779,12.959163096518385,15.25249669602346,28.211659792541845,0.09113143250506942,0.1036224324256144,3.8070867687059478
14,0.5833333333333334,109066.31334877328,80.41807915424621,13.159705670783621,15.488528523743444,28.648234194527063,0.09254168808522763,0.10522598577203703,3.807086768705948
15,0.625,111710.29544580815,82.36757166970173,13.478722836831357,15.864000939275053,29.34272377610641,0.0947850807425396,0.10777687077017967,3.807086768705948
16,0.6666666666666666,115155.99999999804,84.90819978000454,13.894474101996199,16.35332611799728,30.24780021999348,0.09770872697479098,0.11110124882295545,3.807086768705948
17,0.7083333333333334,119168.60794028085,86.56960027049278,15.642508267130989,16.95649940265706,32.59900766978805,0.09973100070215554,0.11497256905987176,3.6555900457891344
18,0.75,123474.66666666938,89.69772091508008,16.2077373185607,17.56920843302858,33.77694575158928,0.10333469762609869,0.11912700740443703,3.655590045789135
19,0.7916666666666666,127780.72539304868,92.72104193300163,16.877765996648233,18.18191746339879,35.059683460047026,0.10693839455003411,0.12328144574899341,3.644662837263314
20,0.8333333333333334,131793.3333333315,95.63269537640821,17.407766571023362,18.75287138589992,36.16063795692328,0.11029650548400059,0.12715276598590974,3.644662837263314
21,0.875,135239.0378875306,99.80997888912424,16.144928540919423,19.28413045748692,35.42905899840635,0.11524683090098797,0.1304771440386944,3.817178375909274
22,0.9166666666666666,137883.0199845655,101.7613074508354,16.460568926172673,19.661143607557413,36.12171253373009,0.11749995664339107,0.13302802903683708,3.817178375909274
23,0.9583333333333334,139545.09661390987,102.98796386512409,16.65898876728847,19.898143981497316,36.55713274878579,0.11891633069661256,0.13463158238325076,3.8171783759092746
24,1.0,154965.33333333375,114.05505370084492,18.762784945260513,22.147494687228306,40.91027963248882,0.13200678893488946,0.14950885804994302,3.78793141297104
25,1.0416666666666667,153456.89237926496,113.07960983048508,18.445372775271398,21.931909773508448,40.377282548779846,0.13072182769638985,0.14805353072203362,3.8005750435005994
26,1.0833333333333333,149034.3672752671,109.82073103089604,17.913789456422315,21.29984678794871,39.213636244371024,0.12695451196580046,0.14378672689066535,3.8005750435006
27,1.125,141999.14579860517,104.79911692524131,16.95195483198169,20.248074041382168,37.20002887336386,0.12100760105633288,0.1369992221857153,3.8171783759092746
28,1.1666666666666667,132830.66666666733,96.38541161904085,17.544781517578965,18.900473530047478,36.445255047626446,0.11116463924156808,0.12815357383595047,3.644662837263314
29,1.2083333333333333,122153.74658066072,88.73814333998295,16.03434850650069,17.381254734177052,33.41560324067774,0.10222923298820312,0.11785259815827626,3.6555900457891353
30,1.25,110696.00000000093,81.61969921539149,13.356340140284575,15.719960644324855,29.07630078460943,0.09392446108932004,0.10679828962195795,3.807086768705948
31,1.2916666666666667,99238.25341934114,73.2510237393292,11.894385872073386,14.092843807938554,25.98722968001194,0.08420267644591413,0.09574398108563964,3.8187315324214874
32,1.3333333333333333,88561.33333333452,67.48778878933467,9.798339395067318,11.275205148932539,21.07354454399986,0.07749521026168803,0.08688071282445821,4.202488724591423
33,1.375,79392.85420139668,60.58027271860036,8.723200142199913,10.089381340596429,18.81258148279634,0.06949095946944885,0.07788622310171708,4.220199884529381
34,1.4166666666666667,72357.63272473472,55.26845289858605,7.893846608744017,9.19533321740466,17.089179826148676,0.06333317240648276,0.07098450839435434,4.234119686306894
35,1.4583333333333333,67935.10762073689,51.890424745938034,7.411371802981822,8.633311071817026,16.04468287479885,0.059462225633679526,0.06664590915406074,4.234119686306894
36,1.5,66426.66666666811,50.80098455225113,7.197881542022534,8.427800572394455,15.625682114416989,0.05815577036271226,0.0651660937491839,4.251121082604115
37,1.5416666666666665,67935.10762073689,51.890424745938034,7.411371802981822,8.633311071817026,16.04468287479885,0.059462225633679526,0.06664590915406074,4.234119686306894
38,1.5833333333333335,72357.63272473472,55.26845289858605,7.893846608744017,9.19533321740466,17.089179826148676,0.06333317240648276,0.07098450839435434,4.234119686306894
39,1.625,79392.85420139668,60.58027271860036,8.723200142199913,10.089381340596429,18.81258148279634,0.06949095946944885,0.07788622310171708,4.220199884529381
40,1.6666666666666665,88561.33333333452,67.48778878933467,9.798339395067318,11.275205148932539,21.07354454399986,0.07749521026168803,0.08688071282445821,4.202488724591423
41,1.7083333333333335,99238.25341934114,73.2510237393292,11.894385872073386,14.092843807938554,25.98722968001194,0.08420267644591413,0.09574398108563964,3.8187315324214874
42,1.75,110696.00000000093,81.61969921539149,13.356340140284575,15.719960644324855,29.07630078460943,0.09392446108932004,0.10679828962195795,3.807086768705948
43,1.7916666666666665,122153.74658066072,88.73814333998295,16.03434850650069,17.381254734177052,33.41560324067774,0.10222923298820312,0.11785259815827626,3.6555900457891353
44,1.8333333333333335,132830.66666666733,96.38541161904085,17.544781517578965,18.900473530047478,36.445255047626446,0.11116463924156808,0.12815357383595047,3.644662837263314
45,1.875,141999.14579860517,104.79911692524131,16.95195483198169,20.248074041382168,37.20002887336386,0.12100760105633288,0.1369992221857153,3.8171783759092746
46,1.9166666666666665,149034.3672752671,109.82073103089604,17.913789456422315,21.29984678794871,39.213636244371024,0.12695451196580046,0.14378672689066535,3.8005750435006
47,1.9583333333333335,153456.89237926496,113.07960983048508,18.445372775271398,21.931909773508448,40.377282548779846,0.13072182769638985,0.14805353072203362,3.8005750435005994
48,2.0,110170.66666666378,81.23235415635777,13.292954555556307,15.645357954749693,28.938312510305998,0.09347872095213398,0.1062914537698783,3.807086768705948
49,2.0416666666666665,109538.34086705402,80.76612013190993,13.216659491063776,15.555561244080325,28.772220735144103,0.0929421987655941,0.10568139275699474,3.8070867687059478
