hour,time_days,Q_c_W,Q_e_kW,W_c1_kW,W_c2_kW,W_total_kW,m_dot_1_kg_s,m_dot_2_kg_s,COP
0,0.0,140112.00000000285,101.66893784141661,18.506527819813666,19.93653433877257,38.44306215858624,0.11725831334191023,0.13517852456739135,3.644662837263314
1,0.041666666666666664,139545.09661390987,101.25757789278428,18.431649056496635,19.855869664628965,38.2875187211256,0.11678387764132014,0.13463158238325076,3.644662837263314
2,0.08333333333333333,137883.0199845655,100.05153154759982,18.212115630525812,19.619372806439838,37.83148843696565,0.11539290254852347,0.13302802903683708,3.6446628372633145
3,0.125,135239.0378875306,98.24390544829218,17.751971804979636,19.24316063425876,36.9951324392384,0.11318018071738471,0.1304771440386944,3.655590045789135
4,0.16666666666666666,131793.3333333315,95.74078595178253,17.29967599564904,18.75287138589992,36.05254738154896,0.11029650548400059,0.12715276598590974,3.6555900457891344
5,0.20833333333333334,127780.72539304868,92.82584155966066,16.7729663699892,18.18191746339879,34.95488383338799,0.10693839455003411,0.12328144574899341,3.655590045789135
6,0.25,123474.66666666938,89.69772091508008,16.2077373185607,17.56920843302858,33.77694575158928,0.10333469762609869,0.11912700740443703,3.655590045789135
7,0.2916666666666667,119168.60794028085,86.56960027049278,15.642508267130989,16.95649940265706,32.59900766978805,0.09973100070215554,0.11497256905987176,3.6555900457891344
8,0.3333333333333333,115155.99999999804,83.65465587837095,15.115798641471152,16.385545480155933,31.501344121627085,0.09637288976818909,0.11110124882295545,3.655590045789135
9,0.375,111710.29544580815,82.36757166970173,13.478722836831357,15.864000939275053,29.34272377610641,0.0947850807425396,0.10777687077017967,3.807086768705948
10,0.4166666666666667,109066.31334877328,80.41807915424621,13.159705670783621,15.488528523743444,28.648234194527063,0.09254168808522763,0.10522598577203703,3.807086768705948
11,0.4583333333333333,107404.23671941964,79.19257692687779,12.959163096518385,15.25249669602346,28.211659792541845,0.09113143250506942,0.1036224324256144,3.8070867687059478
12,0.5,106837.33333333593,78.77458093916063,12.890761759060723,15.171990635114572,28.062752394175295,0.0906504205893035,0.10307549024148277,3.807086768705948
13,0.5416666666666666,107404.23671941964,79.19257692687779,12.959163096518385,15.25249669602346,28.211659792541845,0.09113143250506942,0.1036224324256144,3.8070867687059478
14,0.5833333333333334,109066.31334877328,80.41807915424621,13.159705670783621,15.488528523743444,28.648234194527063,0.09254168808522763,0.10522598577203703,3.807086768705948
15,0.625,111710.29544580815,82.36757166970173,13.478722836831357,15.864000939275053,29.34272377610641,0.0947850807425396,0.10777687077017967,3.807086768705948
16,0.6666666666666666,115155.99999999804,83.65465587837095,15.115798641471152,16.385545480155933,31.501344121627085,0.09637288976818909,0.11110124882295545,3.655590045789135
17,0.7083333333333334,119168.60794028085,86.56960027049278,15.642508267130989,16.95649940265706,32.59900766978805,0.09973100070215554,0.11497256905987176,3.6555900457891344
18,0.75,123474.66666666938,89.69772091508008,16.2077373185607,17.56920843302858,33.77694575158928,0.10333469762609869,0.11912700740443703,3.655590045789135
19,0.7916666666666666,127780.72539304868,92.82584155966066,16.7729663699892,18.18191746339879,34.95488383338799,0.10693839455003411,0.12328144574899341,3.655590045789135
20,0.8333333333333334,131793.3333333315,95.74078595178253,17.29967599564904,18.75287138589992,36.05254738154896,0.11029650548400059,0.12715276598590974,3.6555900457891344
21,0.875,135239.0378875306,98.24390544829218,17.751971804979636,19.24316063425876,36.9951324392384,0.11318018071738471,0.1304771440386944,3.655590045789135
22,0.9166666666666666,137883.0199845655,100.05153154759982,18.212115630525812,19.619372806439838,37.83148843696565,0.11539290254852347,0.13302802903683708,3.6446628372633145
23,0.9583333333333334,139545.09661390987,101.25757789278428,18.431649056496635,19.855869664628965,38.2875187211256,0.11678387764132014,0.13463158238325076,3.644662837263314
24,1.0,154965.33333333375,114.36850550067578,18.499867139450526,22.096960693207432,40.59682783265796,0.13205701434399678,0.14950885804994302,3.8171783759092746
25,1.0416666666666667,153456.89237926496,113.2552362691518,18.319788429988765,21.881867680124405,40.20165611011317,0.13077156420864264,0.14805353072203362,3.8171783759092746
26,1.0833333333333333,149034.3672752671,108.14324128371355,19.685028149537523,21.20609784201599,40.89112599155351,0.1247253521231318,0.14378672689066535,3.644662837263315
27,1.125,141999.14579860517,103.03830027215619,18.755789240833117,20.205056285615843,38.96084552644896,0.11883764654230973,0.1369992221857153,3.644662837263314
28,1.1666666666666667,132830.66666666733,96.38541161904085,17.544781517578965,18.900473530047478,36.445255047626446,0.11116463924156808,0.12815357383595047,3.644662837263314
29,1.2083333333333333,122153.74658066072,88.6379586916545,16.134533154829132,17.381254734177052,33.515787889006184,0.10222923298820312,0.11785259815827626,3.644662837263315
30,1.25,110696.00000000093,80.41470515745932,14.530362694226381,15.750932148315218,30.281294842541598,0.09264036095192374,0.10679828962195795,3.655590045789135
31,1.2916666666666667,99238.25341934114,72.09126697493568,13.026376881952066,14.120609562453385,27.14698644440545,0.08305148891564434,0.09574398108563964,3.6555900457891353
32,1.3333333333333333,88561.33333333452,64.33505734942102,11.62488521733053,12.601390766582957,24.22627598391349,0.07411608266227936,0.0854430054079654,3.6555900457891344
33,1.375,79392.85420139668,58.53888920800547,9.57937021592349,11.274594777467717,20.85396499339121,0.06736405150329804,0.07659735705820059,3.8070867687059478
34,1.4166666666666667,72357.63272473472,53.35159553127996,8.730515596022755,10.275521597431998,19.006037193454752,0.06139473566677747,0.06980985235325049,3.8070867687059486
35,1.4583333333333333,67935.10762073689,50.09072640537823,8.196903274277236,9.647477941081416,17.844381215358652,0.05764226685989211,0.06554304852188227,3.8070867687059478
36,1.5,66426.66666666811,48.97850467238633,8.01489804857732,9.433263945704446,17.44816199428177,0.05636236963057968,0.06408772119397287,3.807086768705948
37,1.5416666666666665,67935.10762073689,50.09072640537823,8.196903274277236,9.647477941081416,17.844381215358652,0.05764226685989211,0.06554304852188227,3.8070867687059478
38,1.5833333333333335,72357.63272473472,53.35159553127996,8.730515596022755,10.275521597431998,19.006037193454752,0.06139473566677747,0.06980985235325049,3.8070867687059486
39,1.625,79392.85420139668,58.53888920800547,9.57937021592349,11.274594777467717,20.85396499339121,0.06736405150329804,0.07659735705820059,3.8070867687059478
40,1.6666666666666665,88561.33333333452,64.33505734942102,11.62488521733053,12.601390766582957,24.22627598391349,0.07411608266227936,0.0854430054079654,3.6555900457891344
41,1.7083333333333335,99238.25341934114,72.09126697493568,13.026376881952066,14.120609562453385,27.14698644440545,0.08305148891564434,0.09574398108563964,3.6555900457891353
42,1.75,110696.00000000093,80.41470515745932,14.530362694226381,15.750932148315218,30.281294842541598,0.09264036095192374,0.10679828962195795,3.655590045789135
43,1.7916666666666665,122153.74658066072,88.6379586916545,16.134533154829132,17.381254734177052,33.515787889006184,0.10222923298820312,0.11785259815827626,3.644662837263315
44,1.8333333333333335,132830.66666666733,96.38541161904085,17.544781517578965,18.900473530047478,36.445255047626446,0.11116463924156808,0.12815357383595047,3.644662837263314
45,1.875,141999.14579860517,103.03830027215619,18.755789240833117,20.205056285615843,38.96084552644896,0.11883764654230973,0.1369992221857153,3.644662837263314
