hour,time_days,Q_c_W,Q_e_kW,W_c1_kW,W_c2_kW,W_total_kW,m_dot_1_kg_s,m_dot_2_kg_s,COP
0,0.0,140112.00000000285,106.77175587748593,15.501854789769217,17.838389332747703,33.34024412251692,0.12260439733125487,0.13745310709633143,4.202488724591424
1,0.041666666666666664,139545.09661390987,106.33974955435845,15.439133152999764,17.766213906551666,33.20534705955143,0.122108330984354,0.1368969617851382,4.202488724591425
2,0.08333333333333333,137883.0199845655,105.07317110199156,15.255242618587543,17.554606263986393,32.80984888257394,0.12065393804542567,0.13526642623546664,4.202488724591424
3,0.125,135239.0378875306,103.05833574878095,14.962715022557342,17.217987116192326,32.180702138749666,0.11834033298974461,0.13267261875042244,4.202488724591424
4,0.16666666666666666,131793.3333333315,100.4325511943753,14.581485637153948,16.779296501802236,31.360782138956182,0.11532518417844269,0.12929230302364217,4.202488724591425
5,0.20833333333333334,127780.72539304868,97.37476031684926,14.137534614982131,16.268430461217285,30.405965076199415,0.11181396902024802,0.12535584198567773,4.202488724591425
6,0.25,123474.66666666938,94.09334651127173,13.661116484539706,15.720203670857947,29.381320155397653,0.1080459710256386,0.12113149895096198,4.202488724591424
7,0.2916666666666667,119168.60794028085,90.81193270568716,13.184698354096257,15.17197688049743,28.356675234593688,0.10427797303102111,0.11690715591623717,4.202488724591424
8,0.3333333333333333,115155.99999999804,87.75414182816112,12.74074733192444,14.661110839912482,27.40185817183692,0.10076675787282645,0.11297069487827274,4.202488724591425
9,0.375,111710.29544580815,85.12835727376252,12.35951794652207,14.222420225523567,26.58193817204564,0.0977516090615326,0.10959037915150152,4.202488724591424
10,0.4166666666666667,109066.31334877328,83.1135219205519,12.066990350491869,13.885801077729504,25.952791428221374,0.09543800400585156,0.10699657166645735,4.202488724591424
11,0.4583333333333333,107404.23671941964,81.84694346817797,11.883099816078625,13.674193435163051,25.557293251241674,0.09398361106691513,0.10536603611677672,4.202488724591425
12,0.5,106837.33333333593,81.41493714505754,11.820378179310195,13.602018008968193,25.422396188278388,0.09348754472002235,0.10480989080559255,4.202488724591425
13,0.5416666666666666,107404.23671941964,81.84694346817797,11.883099816078625,13.674193435163051,25.557293251241674,0.09398361106691513,0.10536603611677672,4.202488724591425
14,0.5833333333333334,109066.31334877328,83.1135219205519,12.066990350491869,13.885801077729504,25.952791428221374,0.09543800400585156,0.10699657166645735,4.202488724591424
15,0.625,111710.29544580815,85.12835727376252,12.35951794652207,14.222420225523567,26.58193817204564,0.0977516090615326,0.10959037915150152,4.202488724591424
16,0.6666666666666666,115155.99999999804,87.75414182816112,12.74074733192444,14.661110839912482,27.40185817183692,0.10076675787282645,0.11297069487827274,4.202488724591425
17,0.7083333333333334,119168.60794028085,90.81193270568716,13.184698354096257,15.17197688049743,28.356675234593688,0.10427797303102111,0.11690715591623717,4.202488724591424
18,0.75,123474.66666666938,94.09334651127173,13.661116484539706,15.720203670857947,29.381320155397653,0.1080459710256386,0.12113149895096198,4.202488724591424
19,0.7916666666666666,127780.72539304868,97.37476031684926,14.137534614982131,16.268430461217285,30.405965076199415,0.11181396902024802,0.12535584198567773,4.202488724591425
20,0.8333333333333334,131793.3333333315,100.4325511943753,14.581485637153948,16.779296501802236,31.360782138956182,0.11532518417844269,0.12929230302364217,4.202488724591425
21,0.875,135239.0378875306,103.05833574878095,14.962715022557342,17.217987116192326,32.180702138749666,0.11834033298974461,0.13267261875042244,4.202488724591424
22,0.9166666666666666,137883.0199845655,105.07317110199156,15.255242618587543,17.554606263986393,32.80984888257394,0.12065393804542567,0.13526642623546664,4.202488724591424
23,0.9583333333333334,139545.09661390987,106.33974955435845,15.439133152999764,17.766213906551666,33.20534705955143,0.122108330984354,0.1368969617851382,4.202488724591425
24,1.0,154965.33333333375,118.09067560337164,17.145213077976717,19.729444651985386,36.8746577299621,0.13560174218175472,0.1520245700502811,4.202488724591425
